lang	layer	step	score
sv_talbanken	0-4	0	7.63
sv_talbanken	0-4	1	7.52
sv_talbanken	0-4	2	7.08
sv_talbanken	0-4	3	6.97
sv_talbanken	0-4	4	6.71
sv_talbanken	0-4	5	6.53
sv_talbanken	0-4	6	6.34
sv_talbanken	0-4	7	6.21
sv_talbanken	0-4	8	6.09
sv_talbanken	0-4	9	5.97
sv_talbanken	0-4	10	5.88
sv_talbanken	0-4	11	5.81
sv_talbanken	0-4	12	5.75
sv_talbanken	0-4	13	5.70
sv_talbanken	0-4	14	5.69
sv_talbanken	0-4	15	5.66
sv_talbanken	0-4	16	5.63
sv_talbanken	0-4	17	5.62
sv_talbanken	0-4	18	5.59
sv_talbanken	0-4	19	5.57
fi_tdt	0	0	78.70
fi_tdt	0	1	80.95
fi_tdt	0	2	82.19
fi_tdt	0	3	82.98
fi_tdt	0	4	83.59
fi_tdt	0	5	84.07
fi_tdt	0	6	84.43
fi_tdt	0	7	84.71
fi_tdt	0	8	84.97
fi_tdt	0	9	85.17
fi_tdt	0	10	85.36
fi_tdt	0	11	85.50
fi_tdt	0	12	85.63
fi_tdt	0	13	85.73
fi_tdt	0	14	85.81
fi_tdt	0	15	85.90
fi_tdt	0	16	85.98
fi_tdt	0	17	86.06
fi_tdt	0	18	86.14
fi_tdt	0	19	86.21
fi_tdt	0-1	0	50.60
fi_tdt	0-1	1	52.97
fi_tdt	0-1	2	54.26
fi_tdt	0-1	3	55.17
fi_tdt	0-1	4	55.82
fi_tdt	0-1	5	56.41
fi_tdt	0-1	6	56.81
fi_tdt	0-1	7	57.09
fi_tdt	0-1	8	57.35
fi_tdt	0-1	9	57.55
fi_tdt	0-1	10	57.78
fi_tdt	0-1	11	57.96
fi_tdt	0-1	12	58.10
fi_tdt	0-1	13	58.26
fi_tdt	0-1	14	58.37
fi_tdt	0-1	15	58.45
fi_tdt	0-1	16	58.51
fi_tdt	0-1	17	58.60
fi_tdt	0-1	18	58.69
fi_tdt	0-1	19	58.75
fi_tdt	0-2	0	31.70
fi_tdt	0-2	1	37.33
fi_tdt	0-2	2	41.36
fi_tdt	0-2	3	44.03
fi_tdt	0-2	4	45.93
fi_tdt	0-2	5	47.41
fi_tdt	0-2	6	48.58
fi_tdt	0-2	7	49.55
fi_tdt	0-2	8	50.32
fi_tdt	0-2	9	50.95
fi_tdt	0-2	10	51.51
fi_tdt	0-2	11	52.00
fi_tdt	0-2	12	52.40
fi_tdt	0-2	13	52.78
fi_tdt	0-2	14	53.10
fi_tdt	0-2	15	53.40
fi_tdt	0-2	16	53.67
fi_tdt	0-2	17	53.89
fi_tdt	0-2	18	54.11
fi_tdt	0-2	19	54.30
fi_tdt	0-3	0	7.80
fi_tdt	0-3	1	7.65
fi_tdt	0-3	2	7.62
fi_tdt	0-3	3	7.58
fi_tdt	0-3	4	7.61
fi_tdt	0-3	5	7.66
fi_tdt	0-3	6	7.71
fi_tdt	0-3	7	7.74
fi_tdt	0-3	8	7.75
fi_tdt	0-3	9	7.73
fi_tdt	0-3	10	7.72
fi_tdt	0-3	11	7.75
fi_tdt	0-3	12	7.75
fi_tdt	0-3	13	7.77
fi_tdt	0-3	14	7.79
fi_tdt	0-3	15	7.81
fi_tdt	0-3	16	7.84
fi_tdt	0-3	17	7.87
fi_tdt	0-3	18	7.88
fi_tdt	0-3	19	7.89
fi_tdt	0-4	0	9.27
fi_tdt	0-4	1	8.50
fi_tdt	0-4	2	8.19
fi_tdt	0-4	3	8.02
fi_tdt	0-4	4	7.89
fi_tdt	0-4	5	7.92
fi_tdt	0-4	6	7.91
fi_tdt	0-4	7	7.93
fi_tdt	0-4	8	7.90
fi_tdt	0-4	9	7.89
fi_tdt	0-4	10	7.92
fi_tdt	0-4	11	7.88
fi_tdt	0-4	12	7.88
fi_tdt	0-4	13	7.92
fi_tdt	0-4	14	7.90
fi_tdt	0-4	15	7.90
fi_tdt	0-4	16	7.88
fi_tdt	0-4	17	7.87
fi_tdt	0-4	18	7.85
fi_tdt	0-4	19	7.84
ja_gsd	0	0	90.13
ja_gsd	0	1	91.37
ja_gsd	0	2	91.84
ja_gsd	0	3	92.24
ja_gsd	0	4	92.51
ja_gsd	0	5	92.73
ja_gsd	0	6	92.90
ja_gsd	0	7	93.04
ja_gsd	0	8	93.12
ja_gsd	0	9	93.22
ja_gsd	0	10	93.29
ja_gsd	0	11	93.36
ja_gsd	0	12	93.43
ja_gsd	0	13	93.48
ja_gsd	0	14	93.53
ja_gsd	0	15	93.56
ja_gsd	0	16	93.59
ja_gsd	0	17	93.63
ja_gsd	0	18	93.66
ja_gsd	0	19	93.68
ja_gsd	0-1	0	82.10
ja_gsd	0-1	1	85.87
ja_gsd	0-1	2	87.71
ja_gsd	0-1	3	88.92
ja_gsd	0-1	4	89.72
ja_gsd	0-1	5	90.28
ja_gsd	0-1	6	90.71
ja_gsd	0-1	7	91.07
ja_gsd	0-1	8	91.33
ja_gsd	0-1	9	91.57
ja_gsd	0-1	10	91.77
ja_gsd	0-1	11	91.93
ja_gsd	0-1	12	92.08
ja_gsd	0-1	13	92.22
ja_gsd	0-1	14	92.33
ja_gsd	0-1	15	92.43
ja_gsd	0-1	16	92.52
ja_gsd	0-1	17	92.62
ja_gsd	0-1	18	92.68
ja_gsd	0-1	19	92.75
ja_gsd	0-2	0	87.13
ja_gsd	0-2	1	88.70
ja_gsd	0-2	2	89.60
ja_gsd	0-2	3	90.28
ja_gsd	0-2	4	90.73
ja_gsd	0-2	5	91.14
ja_gsd	0-2	6	91.45
ja_gsd	0-2	7	91.71
ja_gsd	0-2	8	91.92
ja_gsd	0-2	9	92.10
ja_gsd	0-2	10	92.24
ja_gsd	0-2	11	92.36
ja_gsd	0-2	12	92.44
ja_gsd	0-2	13	92.54
ja_gsd	0-2	14	92.62
ja_gsd	0-2	15	92.68
ja_gsd	0-2	16	92.74
ja_gsd	0-2	17	92.80
ja_gsd	0-2	18	92.86
ja_gsd	0-2	19	92.90
ja_gsd	0-3	0	33.23
ja_gsd	0-3	1	33.52
ja_gsd	0-3	2	33.81
ja_gsd	0-3	3	33.84
ja_gsd	0-3	4	33.72
ja_gsd	0-3	5	33.67
ja_gsd	0-3	6	33.67
ja_gsd	0-3	7	33.69
ja_gsd	0-3	8	33.68
ja_gsd	0-3	9	33.67
ja_gsd	0-3	10	33.68
ja_gsd	0-3	11	33.67
ja_gsd	0-3	12	33.66
ja_gsd	0-3	13	33.65
ja_gsd	0-3	14	33.65
ja_gsd	0-3	15	33.65
ja_gsd	0-3	16	33.66
ja_gsd	0-3	17	33.66
ja_gsd	0-3	18	33.66
ja_gsd	0-3	19	33.66
ja_gsd	0-4	0	7.33
ja_gsd	0-4	1	14.57
ja_gsd	0-4	2	18.98
ja_gsd	0-4	3	21.80
ja_gsd	0-4	4	23.56
ja_gsd	0-4	5	24.97
ja_gsd	0-4	6	25.96
ja_gsd	0-4	7	26.76
ja_gsd	0-4	8	27.39
ja_gsd	0-4	9	27.90
ja_gsd	0-4	10	28.35
ja_gsd	0-4	11	28.73
ja_gsd	0-4	12	29.06
ja_gsd	0-4	13	29.32
ja_gsd	0-4	14	29.56
ja_gsd	0-4	15	29.77
ja_gsd	0-4	16	29.95
ja_gsd	0-4	17	30.13
ja_gsd	0-4	18	30.28
ja_gsd	0-4	19	30.41
hi_hdtb	0	0	91.57
hi_hdtb	0	1	92.20
hi_hdtb	0	2	92.66
hi_hdtb	0	3	92.90
hi_hdtb	0	4	93.06
hi_hdtb	0	5	93.17
hi_hdtb	0	6	93.28
hi_hdtb	0	7	93.35
hi_hdtb	0	8	93.39
hi_hdtb	0	9	93.45
hi_hdtb	0	10	93.49
hi_hdtb	0	11	93.53
hi_hdtb	0	12	93.56
hi_hdtb	0	13	93.58
hi_hdtb	0	14	93.60
hi_hdtb	0	15	93.60
hi_hdtb	0	16	93.62
hi_hdtb	0	17	93.64
hi_hdtb	0	18	93.65
hi_hdtb	0	19	93.67
hi_hdtb	0-1	0	89.97
hi_hdtb	0-1	1	91.03
hi_hdtb	0-1	2	91.67
hi_hdtb	0-1	3	92.06
hi_hdtb	0-1	4	92.33
hi_hdtb	0-1	5	92.54
hi_hdtb	0-1	6	92.69
hi_hdtb	0-1	7	92.79
hi_hdtb	0-1	8	92.89
hi_hdtb	0-1	9	92.97
hi_hdtb	0-1	10	93.05
hi_hdtb	0-1	11	93.10
hi_hdtb	0-1	12	93.13
hi_hdtb	0-1	13	93.17
hi_hdtb	0-1	14	93.21
hi_hdtb	0-1	15	93.24
hi_hdtb	0-1	16	93.27
hi_hdtb	0-1	17	93.30
hi_hdtb	0-1	18	93.32
hi_hdtb	0-1	19	93.34
hi_hdtb	0-2	0	60.00
hi_hdtb	0-2	1	61.08
hi_hdtb	0-2	2	61.63
hi_hdtb	0-2	3	61.96
hi_hdtb	0-2	4	62.19
hi_hdtb	0-2	5	62.37
hi_hdtb	0-2	6	62.52
hi_hdtb	0-2	7	62.63
hi_hdtb	0-2	8	62.73
hi_hdtb	0-2	9	62.81
hi_hdtb	0-2	10	62.89
hi_hdtb	0-2	11	62.95
hi_hdtb	0-2	12	63.00
hi_hdtb	0-2	13	63.04
hi_hdtb	0-2	14	63.07
hi_hdtb	0-2	15	63.10
hi_hdtb	0-2	16	63.13
hi_hdtb	0-2	17	63.14
hi_hdtb	0-2	18	63.17
hi_hdtb	0-2	19	63.20
hi_hdtb	0-3	0	8.20
hi_hdtb	0-3	1	15.23
hi_hdtb	0-3	2	26.81
hi_hdtb	0-3	3	34.25
hi_hdtb	0-3	4	39.13
hi_hdtb	0-3	5	42.56
hi_hdtb	0-3	6	45.14
hi_hdtb	0-3	7	47.11
hi_hdtb	0-3	8	48.67
hi_hdtb	0-3	9	49.95
hi_hdtb	0-3	10	51.04
hi_hdtb	0-3	11	51.93
hi_hdtb	0-3	12	52.69
hi_hdtb	0-3	13	53.33
hi_hdtb	0-3	14	53.91
hi_hdtb	0-3	15	54.40
hi_hdtb	0-3	16	54.85
hi_hdtb	0-3	17	55.25
hi_hdtb	0-3	18	55.61
